,Unnamed: 0,Full State,short_fips,State_Abbr, County Name,Non-white Residents,Senior Residents,Senior Poll Workers,Reported Difficulty ,In-Person Voters,Inactive Voters,Voters Per Location,Voters Per Machine,Voters Per Pollworker,Wait Times,Wait Count,# of Same Day Locations,# of Machines,# of Poll Workers,# of Senior Poll Workers,# of Voters Removed,# of Precincts,#  Mail In Ballots,% Early Vote,%  Rejected Ballots,Median Age,Median Household Income,Total Population,Total Eligible Voters,% Senior Poll Worker,% Votes in Person,% Inactive Voters,%Nonwhite,% Residents Over 60,(PRI) Non-white Residents,(PRI) Senior Residents,(REC) Senior Poll Workers,(REC) Reported Difficulty ,(D) In-Person Voters,(D) Inactive Voters,(S) Voters Per Location,(S) Voters Per Machine,(S) Voters Per Pollworker,(S) Wait Times,(O) Wait Count,(O) # Of Same Day Locations,(O) # Of Machines,(O) # Of Poll Workers,(O) # Of Senior Poll Workers,(O) # Of Voters Removed,(O) # Of Precincts,(O) #  Mail In Ballots,(O) % Early Vote,(O) %  Rejected Ballots,(O) Median Age,(O) Median Household Income,(O) Total Population,(O) Total Eligible Voters,(O) % Senior Poll Worker,(O) % Votes In Person,(O) % Inactive Voters,(O) %Nonwhite,(O) % Residents Over 60,Priority (Median),Recruiting Risk (Median),Demand Risk (Median),Resource Supply (Median),Priority (Final),Priority (LMH),Recruiting Risk (Final),Recruiting Risk (LMH),Demand Risk (Final),Demand Risk (LMH),Resource Supply (Final),Resource Supply (LMH),concat,Action
0,69,ARIZONA,4001,AZ,APACHE COUNTY,55160.0,14758.0,99.0,4.0,13440.0,4971.0,1306.6666666666667,1193.0434782608695,197.41007194244602,,,42.0,46.0,278.0,99.0,4930.0,44.0,-88.0,0.03493876912242263,0.01711978989348767,34.7,32963.0,71522.0,54880.0,0.3561151079136691,0.5258421690989475,0.09057944606413994,0.7712312295517463,0.20634210452727836,0.7333333333333333,0.3333333333333333,0.4,0.4666666666666667,0.5333333333333333,0.3333333333333333,0.2,0.4,0.13333333333333333,,,0.6666666666666666,0.5333333333333333,0.6,0.4,0.4,0.5666666666666667,0.06666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.06666666666666667,0.4,0.4,0.2,1.0,0.13333333333333333,1.0,0.3333333333333333,0.5333333333333333,0.43333333333333335,0.43333333333333335,0.2,0.4666666666666667,Low,0.3333333333333333,Low,0.4,Low,0.16666666666666666,Low,LowLowLowLow,Monitor
1,70,ARIZONA,4003,AZ,COCHISE COUNTY,19036.0,36129.0,77.0,4.0,8591.0,16381.0,5131.470588235295,545.21875,510.1461988304092,,,17.0,160.0,171.0,77.0,8539.0,49.0,34144.0,0.015873015873015872,0.01688457875140705,40.6,48649.0,126279.0,87235.0,0.4502923976608187,0.1870577220371459,0.1877801341204792,0.15074557131431196,0.2861045779583304,0.4666666666666667,0.6,0.3333333333333333,0.4666666666666667,0.4,0.6,0.8,0.13333333333333333,0.8,,,0.43333333333333335,0.8666666666666667,0.4666666666666667,0.3333333333333333,0.6,0.7333333333333333,0.6,0.2,0.7333333333333333,0.7333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.8,0.3333333333333333,0.7333333333333333,0.5333333333333333,0.4,0.5,0.8,0.4666666666666667,Low,0.26666666666666666,Low,0.4666666666666667,Low,0.8,High,LowLowLowHigh,Recruit
2,71,ARIZONA,4005,AZ,COCONINO COUNTY,50715.0,24202.0,161.0,4.0,15391.0,15500.0,1795.2545454545457,836.771186440678,281.3076923076923,,,55.0,118.0,351.0,161.0,15114.0,71.0,37112.0,0.032780438979051967,0.0052704321385791935,30.6,57616.0,140217.0,98739.0,0.4586894586894587,0.27509473082147706,0.15697951164180313,0.36168938145873897,0.17260389253799469,0.6,0.4666666666666667,0.5666666666666667,0.4666666666666667,0.6666666666666666,0.5333333333333333,0.3333333333333333,0.26666666666666666,0.3333333333333333,,,0.7333333333333333,0.8,0.8,0.5666666666666667,0.7333333333333333,0.8,0.6666666666666666,0.6,0.5333333333333333,0.06666666666666667,0.8666666666666667,0.6,0.6,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.8666666666666667,0.06666666666666667,0.5333333333333333,0.5166666666666666,0.6,0.3333333333333333,0.4666666666666667,Low,0.5333333333333333,Medium,0.6,Medium,0.26666666666666666,Low,LowMediumMediumLow,Monitor
3,72,ARIZONA,4007,AZ,GILA COUNTY,12305.0,19272.0,161.0,5.0,3635.0,7433.0,2178.4705882352937,1157.3125,356.09615384615387,,,17.0,32.0,104.0,161.0,4539.0,39.0,17144.0,0.0373109243697479,0.025940629793377246,49.7,42092.0,53400.0,37034.0,1.5480769230769231,0.1745498199279712,0.20070745801155696,0.2304307116104869,0.3608988764044944,0.3333333333333333,0.4,0.5666666666666667,0.9,0.3333333333333333,0.4,0.4666666666666667,0.3333333333333333,0.6,,,0.43333333333333335,0.3333333333333333,0.3333333333333333,0.5666666666666667,0.3333333333333333,0.4666666666666667,0.4,0.7333333333333333,0.9333333333333333,0.8,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.2,0.8666666666666667,0.6,0.8,0.3666666666666667,0.7333333333333334,0.3666666666666667,0.4666666666666667,0.3333333333333333,Low,0.9333333333333333,High,0.3333333333333333,Low,0.4,Low,LowHighLowLow,Monitor
4,73,ARIZONA,4009,AZ,GRAHAM COUNTY,7962.0,7083.0,25.0,3.0,3469.0,3250.0,2350.6666666666665,1511.142857142857,480.8181818181818,,,9.0,14.0,44.0,25.0,2903.0,22.0,7204.0,0.09762655293899498,0.015294771968854282,33.3,51352.0,37879.0,21156.0,0.5681818181818182,0.3216206193213425,0.15362072225373416,0.21019562290451171,0.186990152855144,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.6,0.5333333333333333,0.7333333333333333,,,0.23333333333333334,0.1,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.8666666666666667,0.6666666666666666,0.13333333333333333,0.7333333333333333,0.2,0.2,0.4666666666666667,0.8,0.6,0.4666666666666667,0.2,0.2,0.13333333333333333,0.26666666666666666,0.6,0.2,Low,0.06666666666666667,Low,0.26666666666666666,Low,0.5333333333333333,Medium,LowLowLowMedium,Recruit
5,74,ARIZONA,4011,AZ,GREENLEE COUNTY,862.0,1698.0,0.0,5.0,609.0,510.0,1009.0,210.20833333333331,180.17857142857144,,,5.0,24.0,28.0,0.0,872.0,8.0,1905.0,0.7322046941131204,0.03119523308797757,34.2,60962.0,9504.0,5045.0,0.0,0.23432089265101966,0.10109018830525272,0.0906986531986532,0.17866161616161616,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667,,,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,1.0,1.0,0.2,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.5333333333333333,0.2,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.48333333333333334,0.06666666666666667,0.06666666666666667,0.06666666666666667,Low,0.4,Low,0.06666666666666667,Low,0.06666666666666667,Low,LowLowLowLow,Monitor
6,75,ARIZONA,4012,AZ,LA PAZ COUNTY,4787.0,9337.0,40.0,4.0,1729.0,1966.0,1501.75,750.875,203.6271186440678,,,8.0,16.0,59.0,40.0,1678.0,11.0,3367.0,0.029821843532145623,0.0049592631951824295,56.0,33333.0,20701.0,12014.0,0.6779661016949152,0.33481797056545315,0.16364241717995673,0.23124486739771025,0.4510410125114729,0.13333333333333333,0.2,0.23333333333333334,0.4666666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.2,0.2,,,0.13333333333333333,0.2,0.2,0.23333333333333334,0.13333333333333333,0.13333333333333333,0.2,0.5333333333333333,0.4666666666666667,1.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8,0.8666666666666667,0.7333333333333333,0.6666666666666666,1.0,0.16666666666666669,0.35,0.13333333333333333,0.2,0.13333333333333333,Low,0.16666666666666666,Low,0.13333333333333333,Low,0.16666666666666666,Low,LowLowLowLow,Monitor
7,76,ARIZONA,4013,AZ,MARICOPA COUNTY,952099.0,844570.0,1848.0,5.0,262283.0,302686.0,5176.684210526316,2557.282,909.741017431519,,,494.0,1000.0,2811.0,1848.0,223369.0,748.0,1181093.0,0.017544836920080627,0.002188824918274202,36.1,61606.0,4253913.0,2557282.0,0.6117179741807348,0.18037443014697035,0.11836238631484522,0.22381722428267808,0.19853955640371584,1.0,1.0,1.0,0.9,1.0,1.0,0.8666666666666667,0.8,0.9333333333333333,,,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.26666666666666666,0.2,0.4,1.0,1.0,1.0,0.5333333333333333,0.26666666666666666,0.3333333333333333,0.5333333333333333,0.26666666666666666,1.0,0.95,1.0,0.8666666666666667,1.0,High,1.0,High,1.0,High,0.8666666666666667,High,HighHighHighHigh,Recruit Immediately
8,77,ARIZONA,4015,AZ,MOHAVE COUNTY,19554.0,76142.0,245.0,4.0,21375.0,35602.0,7.108678362573099,3376.6222222222223,448.2241887905605,,,21375.0,45.0,339.0,245.0,13761.0,24.0,50131.0,0.05090633399958646,0.005351524596430356,50.9,43266.0,206064.0,151948.0,0.698005698005698,0.2946447032876146,0.2343038407876379,0.09489284882366644,0.369506561068406,0.5333333333333333,0.7333333333333333,0.7333333333333333,0.4666666666666667,0.8,0.8666666666666667,0.06666666666666667,0.9333333333333333,0.6666666666666666,,,1.0,0.4666666666666667,0.7333333333333333,0.7333333333333333,0.6666666666666666,0.36666666666666664,0.7333333333333333,0.8,0.6,0.8666666666666667,0.4,0.6666666666666666,0.7333333333333333,0.8666666666666667,0.7333333333333333,0.9333333333333333,0.2,0.8666666666666667,0.6333333333333333,0.6,0.8333333333333334,0.6666666666666666,0.6666666666666666,Medium,0.6666666666666666,Medium,0.8666666666666667,High,0.6333333333333333,Medium,MediumMediumHighMedium,Recruit Immediately
9,78,ARIZONA,4017,AZ,NAVAJO COUNTY,56771.0,25215.0,132.0,5.0,15134.0,10427.0,1874.3076923076926,1198.327868852459,261.0642857142857,,,39.0,61.0,280.0,132.0,7209.0,14.0,21643.0,0.023081889594318304,0.0006487288004695562,36.4,40054.0,108705.0,73098.0,0.4647887323943662,0.4071344022382438,0.142644121590194,0.5222482866473483,0.2319580516075617,0.8,0.5333333333333333,0.4666666666666667,0.9,0.6,0.4666666666666667,0.4,0.4666666666666667,0.26666666666666666,,,0.6,0.6,0.6666666666666666,0.4666666666666667,0.5333333333333333,0.2,0.4666666666666667,0.4666666666666667,0.13333333333333333,0.4666666666666667,0.2,0.4666666666666667,0.4666666666666667,0.4,0.9333333333333333,0.5333333333333333,0.9333333333333333,0.4666666666666667,0.6666666666666667,0.6833333333333333,0.5333333333333333,0.4,0.8,High,0.8666666666666667,High,0.5333333333333333,Medium,0.3333333333333333,Low,HighHighMediumLow,Recruit Immediately
